,C,H,O,N,C13,S,P,Na,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
496.109971,21,23,13,1,0,0,0,0,C21H23NO13,0.619047619047619,1.0952380952381,0.0476190476190476,0,NA,495.556010174341,0.44398982565923,0.285714285714286,52.1571428571429,0,0.259259259259259,11,-2,-3,CHNO,Lignin,Lignin,Other
496.12556,17,29,10,3,0,0,2,0,C17H29N3O10P2,0.588235294117647,1.70588235294118,0.176470588235294,0.117647058823529,1.5,495.571581767524,0.428418232475849,-0.588235294117647,77.0647058823529,0,0,6,-4,-9,CHNOP,Amino Sugar,Amino Sugar,Protein
496.132484,20,35,5,1,0,4,0,0,C20H35NO5S4,0.25,1.75,0.05,0,NA,495.578498036124,0.421501963876153,-0.7,80.25,0,0,4,-1,-6,CHNOS,Lipid,Lipid,Other
496.1461119,22,27,12,1,0,0,0,0,C22H27NO12,0.545454545454545,1.22727272727273,0.0454545454545455,0,NA,495.592110719089,0.407889280911036,0,60.3,0,0.2,10,-2,-3,CHNO,Lignin,Lignin,Other
496.146404,22,27,12,1,0,0,0,0,C22H27NO12,0.545454545454545,1.22727272727273,0.0454545454545455,0,NA,495.592402492928,0.407597507072467,0,60.3,0,0.2,10,-2,-3,CHNO,Lignin,Lignin,Other
496.1824719,23,31,11,1,0,0,0,0,C23H31NO11,0.478260869565217,1.34782608695652,0.0434782608695652,0,NA,495.628430119188,0.371569880811819,-0.260869565217392,67.7347826086957,0,0.151515151515152,9,-2,-3,CHNO,Lignin,Lignin,Other
496.1827742,23,31,11,1,0,0,0,0,C23H31NO11,0.478260869565217,1.34782608695652,0.0434782608695652,0,NA,495.628732081637,0.371267918362719,-0.260869565217392,67.7347826086957,0,0.151515151515152,9,-2,-3,CHNO,Lignin,Lignin,Other
496.1908133,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,495.636762205106,0.363237794893564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.2188606,24,35,10,1,0,0,0,0,C24H35NO10,0.416666666666667,1.45833333333333,0.0416666666666667,0,NA,495.664778187241,0.335221812759301,-0.5,74.55,0,0.111111111111111,8,-2,-3,CHNO,Protein,Lignin,Other
496.293721,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,495.739554997449,0.260445002550739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.2941395,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,495.739973030148,0.260026969851538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.301088,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,495.746913771391,0.253086228608765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.589765,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.035268432074,0.964731567925867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.6155562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.06103083339,0.938969166610207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.79956,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.244829173103,0.755170826897142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496.931257,18,10,11,0,0,3,0,0,C18H10O11S3,0.611111111111111,0.555555555555556,0,0,NA,496.376379119056,0.623620880943804,1,31.8,0,0.578947368421053,14,3,0,CHOS,Cond Hydrocarbon,Cond Hydrocarbon,Other
496.931528,17,8,14,0,0,0,2,0,C17H8O14P2,0.823529411764706,0.470588235294118,0,0.117647058823529,0,496.376649816455,0.623350183544858,0.588235294117647,43.5352941176471,0,0.75,15,1,-1,CHOP,Other,Cond Hydrocarbon,Phytochemical
496.9476075,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,496.392711361942,0.607288638058208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497.0013907,24,18,4,0,0,4,0,0,C24H18O4S4,0.166666666666667,0.75,0,0,NA,496.44643450714,0.553565492859775,-0.083333333333333,62.675,0.5,0.555555555555556,16,12,8,CHOS,Cond Hydrocarbon,Cond Hydrocarbon,Other
